nom_commune,nom,siren,code_naf,tranche_effectif,adresse,cp_entreprise,latitude,longitude,libelle_naf,libelle_tranche
VILLEFONTAINE,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.6161,5.1549,Restauration collective sous contrat,10 000 salariés et plus
VILLEFONTAINE,LIDL,343262622,47.11D,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290,45.6161,5.1549,Supermarchés,10 000 salariés et plus
CROLLES,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.2816,5.8853,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
CROLLES,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.2816,5.8853,Autres services de restauration n.c.a.,10 000 salariés et plus
CROLLES,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.2816,5.8853,Autres intermédiations monétaires,10 000 salariés et plus
CROLLES,CROIX ROUGE FRANCAISE,775672272,88.99B,53,SITE CROIX ROUGE 98 RUE DIDOT 75014 PARIS,75014,45.2816,5.8853,Action sociale sans hébergement n.c.a.,10 000 salariés et plus
CROLLES,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.2816,5.8853,Autres intermédiations monétaires,10 000 salariés et plus
CROLLES,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.2816,5.8853,Restauration collective sous contrat,10 000 salariés et plus
CROLLES,LIDL,343262622,47.11D,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290,45.2816,5.8853,Supermarchés,10 000 salariés et plus
CROLLES,SNCF VOYAGEURS,519037584,49.10Z,53,1 RUE CAMILLE MOKE 93210 SAINT-DENIS,93210,45.2816,5.8853,Transport ferroviaire interurbain de voyageurs,10 000 salariés et plus
CROLLES,CREDIT LYONNAIS,954509741,64.19Z,53,18 RUE DE LA REPUBLIQUE 69002 LYON,69002,45.2816,5.8853,Autres intermédiations monétaires,10 000 salariés et plus
CROLLES,PICARD SURGELES,784939688,47.11A,52,1 ROUTE MILITAIRE 77300 FONTAINEBLEAU,77300,45.2816,5.8853,Commerce de détail de produits surgelés,5 000 à 9 999 salariés
MEYLAN,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.2147,5.7865,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
MEYLAN,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.2147,5.7865,Production d'électricité,10 000 salariés et plus
MEYLAN,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.2147,5.7865,Autres services de restauration n.c.a.,10 000 salariés et plus
MEYLAN,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.2147,5.7865,Autres intermédiations monétaires,10 000 salariés et plus
MEYLAN,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.2147,5.7865,Services auxiliaires des transports terrestres,10 000 salariés et plus
MEYLAN,BNP PARIBAS,662042449,64.19Z,53,16 BOULEVARD DES ITALIENS 75009 PARIS,75009,45.2147,5.7865,Autres intermédiations monétaires,10 000 salariés et plus
MEYLAN,LE SOUVENIR FRANCAIS,775676182,94.99Z,11,20 RUE EUGENE FLACHAT 75017 PARIS,75017,45.2147,5.7865,Autres organisations fonctionnant par adhésion volontaire,10 à 19 salariés
MEYLAN,ORANGE,380129866,61.10Z,53,111 QUAI DU PRESIDENT ROOSEVELT 92130 ISSY-LES-MOULINEAUX,92130,45.2147,5.7865,Télécommunications filaires,10 000 salariés et plus
MEYLAN,COMPASS GROUP FRANCE,632041042,56.29A,53,15 BOULEVARD GABRIEL PERI 92240 MALAKOFF,92240,45.2147,5.7865,Restauration collective sous contrat,10 000 salariés et plus
MEYLAN,LIDL,343262622,47.11D,53,1 RUE DE HANOVRE 92290 CHATENAY-MALABRY,92290,45.2147,5.7865,Supermarchés,10 000 salariés et plus
PONT-DE-CLAIX,LA POSTE,356000000,53.10Z,53,DIRECTION GENERALE DE LA POSTE 9 RUE DU COLONEL PIERRE AVIA 75015 PARIS,75015,45.123,5.7017,Activités de poste dans le cadre d'une obligation de service universel,10 000 salariés et plus
PONT-DE-CLAIX,ELECTRICITE DE FRANCE,552081317,35.11Z,53,22-30 22 AVENUE DE WAGRAM 75008 PARIS,75008,45.123,5.7017,Production d'électricité,10 000 salariés et plus
PONT-DE-CLAIX,ELIOR RESTAURATION FRANCE,662025196,56.29B,53,51 CHEMIN DES MECHES 94000 CRETEIL,94000,45.123,5.7017,Autres services de restauration n.c.a.,10 000 salariés et plus
PONT-DE-CLAIX,SOCIETE GENERALE,552120222,64.19Z,53,29 BOULEVARD HAUSSMANN 75009 PARIS,75009,45.123,5.7017,Autres intermédiations monétaires,10 000 salariés et plus
PONT-DE-CLAIX,SNCF RESEAU,412280737,52.21Z,53,15 AU 17 15 RUE JEAN-PHILIPPE RAMEAU 93200 SAINT-DENIS,93200,45.123,5.7017,Services auxiliaires des transports terrestres,10 000 salariés et plus
